All bits have been measured 10000 times with the outcome:
   ( 285 )	* |t=0>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 247 )	* |t=0>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 314 )	* |t=0>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 296 )	* |t=0>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 269 )	* |t=0>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 279 )	* |t=0>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=21>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=35>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=35>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=38>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=43>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=46>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=51>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=65>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=70>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=71>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=72>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=75>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=76>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=76>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=77>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=77>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=78>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=79>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=79>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=80>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=80>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 4 )	* |t=80>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=80>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=81>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=81>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=81>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=81>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=81>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=81>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 6 )	* |t=82>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=82>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=82>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=82>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 8 )	* |t=83>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 5 )	* |t=83>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 4 )	* |t=83>|xbits=3>|reg2=0>|helpers=0000> 
