All bits have been measured 7000 times with the outcome:
   ( 202 )	* |t=0>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 220 )	* |t=0>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 186 )	* |t=0>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 205 )	* |t=0>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 196 )	* |t=0>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 206 )	* |t=0>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=8>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=26>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=57>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=61>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=65>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=69>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=72>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=74>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=74>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=74>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=76>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=76>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=77>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=78>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=78>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=78>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=78>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=79>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=80>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=80>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=80>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=81>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=81>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=81>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=82>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=82>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=82>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 6 )	* |t=83>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=83>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 5 )	* |t=83>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 4 )	* |t=83>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=83>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 4 )	* |t=83>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 11 )	* |t=84>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 9 )	* |t=84>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 15 )	* |t=84>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 11 )	* |t=84>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 8 )	* |t=84>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 6 )	* |t=84>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 139 )	* |t=85>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 133 )	* |t=85>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 130 )	* |t=85>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 148 )	* |t=85>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 125 )	* |t=85>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 126 )	* |t=85>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 27 )	* |t=86>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 36 )	* |t=86>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 31 )	* |t=86>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 32 )	* |t=86>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 27 )	* |t=86>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 28 )	* |t=86>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 5 )	* |t=87>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=87>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 4 )	* |t=87>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 6 )	* |t=87>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 4 )	* |t=87>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 5 )	* |t=87>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=88>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 5 )	* |t=88>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=88>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=88>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=88>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=89>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=89>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=89>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=89>|xbits=4>|reg2=0>|helpers=0000> 
