All bits have been measured 1000 times with the outcome:
   ( 24 )	* |t=0>|xbits=1>|reg2=0>|helpers=0000>|c=1> 
 + ( 20 )	* |t=0>|xbits=2>|reg2=0>|helpers=0000>|c=1> 
 + ( 26 )	* |t=0>|xbits=3>|reg2=0>|helpers=0000>|c=1> 
 + ( 26 )	* |t=0>|xbits=4>|reg2=0>|helpers=0000>|c=1> 
 + ( 33 )	* |t=0>|xbits=5>|reg2=0>|helpers=0000>|c=1> 
 + ( 23 )	* |t=0>|xbits=6>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=12>|xbits=4>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=17>|xbits=1>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=17>|xbits=6>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=18>|xbits=6>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=31>|xbits=2>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=31>|xbits=3>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=31>|xbits=5>|reg2=0>|helpers=0000>|c=1> 
 + ( 6 )	* |t=33>|xbits=1>|reg2=0>|helpers=0000>|c=1> 
 + ( 6 )	* |t=33>|xbits=2>|reg2=0>|helpers=0000>|c=1> 
 + ( 5 )	* |t=33>|xbits=3>|reg2=0>|helpers=0000>|c=1> 
 + ( 2 )	* |t=33>|xbits=4>|reg2=0>|helpers=0000>|c=1> 
 + ( 4 )	* |t=33>|xbits=5>|reg2=0>|helpers=0000>|c=1> 
 + ( 2 )	* |t=33>|xbits=6>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=34>|xbits=5>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=38>|xbits=2>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=46>|xbits=2>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=47>|xbits=1>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=47>|xbits=4>|reg2=0>|helpers=0000>|c=1> 
 + ( 6 )	* |t=49>|xbits=1>|reg2=0>|helpers=0000>|c=1> 
 + ( 7 )	* |t=49>|xbits=2>|reg2=0>|helpers=0000>|c=1> 
 + ( 6 )	* |t=49>|xbits=3>|reg2=0>|helpers=0000>|c=1> 
 + ( 3 )	* |t=49>|xbits=4>|reg2=0>|helpers=0000>|c=1> 
 + ( 3 )	* |t=49>|xbits=5>|reg2=0>|helpers=0000>|c=1> 
 + ( 5 )	* |t=49>|xbits=6>|reg2=0>|helpers=0000>|c=1> 
 + ( 2 )	* |t=51>|xbits=2>|reg2=0>|helpers=0000>|c=1> 
 + ( 2 )	* |t=51>|xbits=3>|reg2=0>|helpers=0000>|c=1> 
