All bits have been measured 7000 times with the outcome:
   ( 222 )	* |t=0>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 216 )	* |t=0>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 172 )	* |t=0>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 206 )	* |t=0>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 214 )	* |t=0>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 199 )	* |t=0>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=2>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=2>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=12>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=12>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=14>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=14>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=14>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=15>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=16>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=16>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=17>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=17>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 4 )	* |t=18>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=18>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=18>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=18>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=18>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=19>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=19>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=20>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=21>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=25>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=25>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=26>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=26>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=29>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=30>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=30>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=31>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=31>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 4 )	* |t=31>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 22 )	* |t=33>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 29 )	* |t=33>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 36 )	* |t=33>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 29 )	* |t=33>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 30 )	* |t=33>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 28 )	* |t=33>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=35>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=35>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=35>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=35>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=35>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=36>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=36>|xbits=3>|reg2=0>|helpers=0000> 
